,title,link,description,pubDate,realDate
0,[美 주간탑] 엔비디아 거래대금 81.1조원 1위.. 거래대금 상위 20선,https://www.itooza.com/common/iview.php?no=2024031108541348990,"이 밖에 테슬라(TSLA), AMD(AMD), 슈퍼 마이크로 컴퓨터(SMCI), 애플(AAPL) 등도 거래대금이 많았다.... 애플(AAPL), 버크셔 해서웨이 A(BRK.A), 마이크로소프트(MSFT), 메타 플랫폼(META), 브로드컴(AVGO), 아마존 닷컴... ",2024-03,2024-03-11
1,월가서 테슬라 목표주가 하향 나와…애플에는 &quot;일단은 유지&quot;,https://news.einfomax.co.kr/news/articleView.html?idxno=4300973,"한편 최근 주가 급락세를 겪고 있는 애플(NAS:AAPL)에 대해서는 매수 의견을 유지한다는 월가의 평가가... 관련 종목: 테슬라(NAS:TSLA), 애플(NAS:AAPL) hrlim@yna.co.kr 본 기사는 인포맥스 금융정보 단말기에서 23시 04분에... ",2024-03,2024-03-07
2,"월가 &quot;테슬라, 괜찮아 보여…넷플릭스는 급등 가능성&quot;",https://news.einfomax.co.kr/news/articleView.html?idxno=4301475,"반면 UBS는 애플(NAS:AAPL)에 대한 '중립' 의견을 유지했다. 글로벌 투자은행 UBS는 중국 내 애플이 아직... 관련 종목: 넷플릭스(NAS:NFLX), 애플(NAS:AAPL), 메타 플랫폼스(NAS:META), 넷플릭스(NAS:NFLX) hrlim@yna.co.kr 본 기사는... ",2024-03,2024-03-12
3,[美 주간탑] 엔비디아 거래대금 75.5조원 1위.. 거래대금 상위 20선,https://www.itooza.com/common/iview.php?no=2024031808513633539,"이 밖에 테슬라(TSLA), AMD(AMD), 애플(AAPL), 마이크로소프트(MSFT) 등도 거래대금이 많았다. 거래대금... ※ 평균 거래대금 상위 기업(20개) 엔비디아(NVDA), 테슬라(TSLA), AMD(AMD), 애플(AAPL), 마이크로소프트... ",2024-03,2024-03-18
4,"뉴욕증시 프리뷰, 주가선물 '비둘기 파월'에 상승...마이크론·구글·테...",https://www.newspim.com/news/view/20240321001173,다만 아이폰 제조사 ▲애플(AAPL)은 개장 전 주가가 1% 가까이 하락하고 있다. 미국 법무부가 애플(NAS:AAPL)을 상대로 이르면 이달 21일 반독점 소송을 제기할 예정이라는 보도가 악재로 작용했다. '월스트리트베츠'라는... ,2024-03,2024-03-21
5,씨티 &quot;GTC 결과에 흡족…엔비디아 '매수'&quot;,https://news.einfomax.co.kr/news/articleView.html?idxno=4302731,"애플(NAS:AAPL)과 넷플릭스(NAS:NFLX) 등 주요 기술주에 대한 평가도 나왔다. JP모건은 애플의 투자 등급을... 관련 종목: 엔비디아(NAS:NVDA), 애플(NAS:AAPL), 넷플릭스(NAS:NFLX) hrlim@yna.co.kr 본 기사는 인포맥스 금융정보... ",2024-03,2024-03-21
6,[美 주간탑] 엔비디아 거래대금 55.1조원 1위.. 거래대금 상위 20선,https://www.itooza.com/common/iview.php?no=2024030408594629299,"이 밖에 테슬라(TSLA), 애플(AAPL), AMD(AMD), 버크셔 해서웨이 A(BRK.A) 등도 거래대금이 많았다.... ※ 평균 거래대금 상위 기업(20개) 엔비디아(NVDA), 테슬라(TSLA), 애플(AAPL), AMD(AMD), 버크셔 해서웨이 A(BRK.A)... ",2024-03,2024-03-04
7,"애플, EU로부터 과징금 폭탄…주가 2% 하락",https://news.einfomax.co.kr/news/articleView.html?idxno=4300588,임하람 특파원 = 애플(NAS:AAPL)이 유럽연합(EU) 당국으로부터 과징금 폭탄을 맞았다. 월가에서도 애플에... 관련 종목: 애플(NAS:AAPL) hrlim@yna.co.kr 본 기사는 인포맥스 금융정보 단말기에서 23시 49분에 서비스된... ,2024-03,2024-03-05
8,[美 주간탑] 엔비디아 거래대금 69.4조원 1위.. 거래대금 상위 20선,https://www.itooza.com/common/iview.php?no=2024032508444621407,"이 밖에 테슬라(TSLA), AMD(AMD), 애플(AAPL), 버크셔 해서웨이 A(BRK.A) 등도 거래대금이 많았다.... ※ 평균 거래대금 상위 기업(20개) 엔비디아(NVDA), 테슬라(TSLA), AMD(AMD), 애플(AAPL), 버크셔 해서웨이 A(BRK.A)... ",2024-03,2024-03-25
9,"뉴욕증시 프리뷰, 다우 4만돌파 앞두고 약보합...테슬라·나이키·엔비디...",https://www.newspim.com/news/view/20240322000995,미국 법무부와 16개 주가 공동으로 ▲애플(AAPL)을 상대로 반독점 소송을 제기했다는 보도에 전날 주가가 급락했던 애플(AAPL)의 주가는 저가 매수 속 소폭 반등 중이다. 피벗 기대 속 미 국채 금리는 전 만기물에... ,2024-03,2024-03-22
