,title,link,description,pubDate,realDate
0,엔비디아 이어 AMD도 '대만행'…세계 2위 파운드리 韓 외면하는 이유 [소...,https://n.news.naver.com/mnews/article/138/0002173842?sid=105,"엔비디아에 이어 미국 거대 AI칩 기업 AMD까지 대만에 대규모 AI(인공지능) R&amp;D 센터를 설립을 추진, 한국은... 이에 이어 AMD도 대만 현지에 R&amp;D 센터 투자를 추진한다. AMD는 대만에 50억 대만달러(약 1억5500만 달러)를... ",2024-05,2024-05-22
1,"AMD, MI300X 가속기로 MS 애저 오픈AI 서비스 지원한다",https://www.hellot.net/news/article.html?no=90039,"활용 AMD는 마이크로소프트 빌드 컨퍼런스에서 마이크로소프트 고객 및 개발자를 위한 최신 엔드투엔드 컴퓨팅 및 소프트웨어 기능을 공개했다. 마이크로소프트는 AMD 인스팅트 MI300X 가속기, ROCm 개방형... ",2024-05,2024-05-22
2,"[리뷰] AFMF로 가성비 게이밍 환경 구축, AMD 라데온 RX 7700 XT",https://n.news.naver.com/mnews/article/020/0003567823?sid=105,"AMD의 FSR(FidelityFX Super Resolution), 인텔의 XeSS(Xe Super Sampling), 엔비디아 DLSS(Deep Learning Super Sampling) 등이... 쾌적하게 즐기고 싶어도 그렇지 못한다는 이야기인데, 지난해 AMD는 이 문제를 어느 정도 보완하는 ‘AFMF(AMD... ",2024-05,2024-05-30
3,"삼성전자 AMD 3나노 파운드리 수주 유리해져, TSMC 공급 부족에 반사이익",https://www.businesspost.co.kr/BP?command=article_view&num=354069,AMD가 삼성전자 3나노 GAA 파운드리 활용 계획을 언급한 것은 TSMC의 수요 대응 능력이 부족하기 때문이라는... 삼성전자가 3나노 게이트올어라운드(GAA) 공정으로 AMD 반도체 위탁생산을 수주하기 유리한 환경이... ,2024-05,2024-05-31
4,"AMD, 에픽·MI300X 투트랙으로 AI 산업 주도권 확보 나서",https://it.donga.com/105385/,"시장조사기업 머큐리리서치가 조사한 전 세계 PC시장 점유율에 따르면, AMD는 2024년 1분기 x86 CPU... AMD가 에픽 프로세서를 공개할 당시 서버 CPU 점유율이 0.8%였던 점을 감안하면 격세지감이다. 2024년 5월 기준... ",2024-05,2024-05-22
5,엔비디아 9% 급등에도 AMD 급락…왜?,https://www.digitaltoday.co.kr/news/articleView.html?idxno=518771,23일(현지시간) 뉴욕증시에서 엔비디아의 주가가 9% 급등했음에도 AMD가 3% 가량 급락했다. [사진: AMD]  엔비디아는 월스트리스트의 인공지능(AI) 주도주라고 불릴 정도다. AMD는 제2의 엔비디아라고 불리는 만큼... ,2024-05,2024-05-24
6,"삼성파운드리, AMD 3나노 고객사 확보했나? 리사 수 CEO '3나노 GAA 도입...",https://kbench.com/?q=node/256387,AMD가 삼성파운드리의 3나노(nm) 합류했다는 소식이다. 삼성파운드리는 지난 2022년 GAA기반 3나노... 28일 반도체 업계에 따르면 리사 수 AMD 최고경영자(CEO)는 벨기에 안트베르펜에서 열린 ITF World 2024 컨퍼런스... ,2024-05,2024-05-28
7,"삼성전자, AMD와 3나노 맞손…턴키까지 확대하나",https://www.viva100.com/main/view.php?key=20240528010008666,"삼성전자, AMD와 3나노 맞손…턴키까지 확대하나 미국 팹리스(반도체 설계전문) AMD가 삼성전자 파운드리(반도체 위탁생산)의 3nm(나노미터, 10억분의 1m) 공정에서 칩을 양산할 것으로 보인다. 전공정부터... ",2024-05,2024-05-28
8,AMD '가성비' 모바일 GPU 출시...엔비디아 독주 막는다,https://www.theguru.co.kr/news/article.html?no=71617,"AMD, 7월 '라데온 RX 7650M XT' 출시 中 아우스타 외장 그래픽 박스에 AMD GPU 장착 기존 라데온 7000 시리즈 대비 낮은 가격 책정 전망 [더구루=정예린 기자] 미국 AMD가 저가형 모바일 그래픽저장장치(GPU)... ",2024-05,2024-05-28
9,"삼성, AMD와 '3나노 협력'…TSMC 추격 시동 건다",https://n.news.naver.com/mnews/article/015/0004990027?sid=101,삼성전자와 세계적인 팹리스(반도체 설계전문 기업)인 AMD의 협업이 본격화하고 있다. 스마트폰용 그래픽처리장치(GPU)를 공동 개발하고 고대역폭메모리(HBM)를 주고받던 기존 관계를 뛰어넘어 AMD가 삼성의 최첨단 3... ,2024-05,2024-05-28
