,title,link,description,pubDate,realDate
0,"Disney, Warner Bros Discovery, Fox Sports JV Expects 5M Subscriber Sign-u...",https://www.econotimes.com/Disney-Warner-Bros-Discovery-Fox-Sports-JV-Expects-5M-Subscriber-Sign-ups-in-Five-Years-1672821,"The Walt Disney Company, Fox Corp., and Warner Bros. Discovery previously signed an agreement to... Only last month, Walt Disney, Fox, and Warner Bros. announced their joint venture project... ",2024-03,2024-03-05
1,Disney+ expands Korean slate for 2024 following creative success,https://n.news.naver.com/mnews/article/001/0014557834?sid=104,"Disney+-Korea lineup 2024 Disney+ expands Korean slate for 2024 following creative success By Woo Jae-yeon SEOUL, March 12 (Yonhap) -- Disney+ will maintain its investment in original Korean... ",2024-03,2024-03-12
2,Disney Ends Its Fight With DeSantis Over Resort Development,https://www.nytimes.com/2024/03/27/business/disney-desantis-florida-lawsuit.html?partner=naver,"The entertainment giant and the Florida governor have been sparring for two years over control of a tax district that encompasses Walt Disney World. In a stunning turn, the Walt Disney Company... ",2024-03,2024-03-28
3,Nickelodeon and Disney Stars Find a Second Act on Podcasts,https://www.nytimes.com/2024/03/27/arts/television/nickelodeon-disney-podcasts-neds-declassified.html?partner=naver,"The three are among a cohort of former child stars, many from Nickelodeon and Disney Channel... the Disney Channel series “Even Stevens.” In addition to the “Ned’s” podcast, the company... ",2024-03,2024-03-27
4,"Disney+ unveils lineup, strategy for Korean market",https://n.news.naver.com/mnews/article/044/0000255333?sid=104,"Emphasizing the importance of the Korean market, Disney+ said Tuesday that it will focus on quality over quantity going forward. &quot;Disney Korea is evolving from playing the role of a distributor... ",2024-03,2024-03-13
5,Disney+ Korea focuses on keeping the K in kuality kontent,https://m.entertain.naver.com/article/640/0000051105,"Global streaming platforms like Disney+ are now feeding viewers Korean content with class and meaning. “We focus on quality, not quantity,” Soyoun Kim, managing director of the Walt Disney... ",2024-03,2024-03-12
6,"For Disney, Small Shareholders Loom Large in Boardroom Fight",https://www.nytimes.com/2024/03/30/business/media/disney-shareholders-proxy-battle.html?partner=naver,"of Disney stock. They cost $31 apiece. He now owns a little over 400 shares — barely enough to be a speck of dust in the Disney investor galaxy. But the entertainment company, which has 1.8... ",2024-03,2024-03-30
7,Blackwells Sues Disney as Fight for Board Seats Heats Up,https://www.econotimes.com/Blackwells-Sues-Disney-as-Fight-for-Board-Seats-Heats-Up-1674602,"The Walt Disney Company was sued by Blackwells Capital, one of its investors, as the end of the voting for Disney board members drew near. The investor filed a lawsuit against the mass media and... ",2024-03,2024-03-29
8,The Billionaire Taking on Disney Just Wants Some Respect,https://www.nytimes.com/2024/03/16/business/media/peltz-disney-proxy.html?partner=naver,"Walt Disney Company — deliver that? On and off for almost a year and a half, Trian Partners has waged an intense corporate fight by controlling a $3.5 billion stake in Disney and pushing for... ",2024-03,2024-03-16
9,Will Disney+ have another 'Moving' this year?,https://www.koreatimes.co.kr/www/nation/2024/03/688_370556.html?na,"Streaming platform finds footing in Korea with hit originalsBy Lee Gyu-leeWhen Disney+ landed in... on Disney+ globally following its release last August. Riding the tide of its success, the... ",2024-03,2024-03-14
10,"Disney fun, musicals and concerts to see in Seoul as the warm weather hit...",https://n.news.naver.com/mnews/article/640/0000052778?sid=103,"DISNEY IN CONCERT: BEYOND THE MAGIC Sejong Center for the Performing Arts, Grand Theater May 4 and 5: Since its Korean premiere in 2014, “Disney in Concert” has continuously gained... ",2024-04,2024-04-19
11,Disney Entertainment CTO to Step Down and Move to PENN Entertainment,https://www.econotimes.com/Disney-Entertainment-CTO-to-Step-Down-and-Move-to-PENN-Entertainment-1676172,"Disney Entertainment’s chief technology officer, Aaron LaBerge, is leaving the company after... At Disney, his role put him in charge of driving technology and product development for Disney... ",2024-04,2024-04-23
12,"Monthly users on local streaming platforms outpace Netflix, Disney+",https://n.news.naver.com/mnews/article/044/0000256746?sid=104,"and Disney+, a survey showed Thursday, a sign of rapidly changing trends in the streaming... and Disney+ (8 percent). The survey allowed respondents to choose multiple options, and the results... ",2024-04,2024-04-25
13,Disney Scrapped Their Show. An Unlikely Champion Saved It.,https://www.nytimes.com/2024/04/25/arts/television/the-spiderwick-chronicles-roku.html?partner=naver,"Canceled by Disney before it even aired, “The Spiderwick Chronicles” found a new home at... for Disney+. The show had recently finished production on its first season, but Clemens was calling... ",2024-04,2024-04-26
14,Disney Fends Off Activist Investor for Second Time in 2 Years,https://www.nytimes.com/2024/04/03/business/disney-peltz-trian-proxy-vote.html?partner=naver,"Nelson Peltz had campaigned for two seats on Disney’s board of directors, as he sought to... infiltrate Disney’s board for the second time in two years, losing a tensely fought contest for... ",2024-04,2024-04-03
15,"Ryu Seung-ryong, Lim Soo-jung to star in new Disney+ series",https://www.koreatimes.co.kr/www/nation/2024/04/688_372724.html?na,"the Disney+ original series, “The Hooligans” (tentative title), scheduled for release in... Ryu recently drew the global spotlight with Disney+’s smash-hit series “Moving,” which won... ",2024-04,2024-04-15
16,"The Best Movies and TV Shows Coming to Amazon, Disney+, Apple TV+ and Mor...",https://www.nytimes.com/2024/04/02/arts/television/april-streaming-movies-tv-shows.html?partner=naver,Also arriving: April 3 “Loot” April 24 “The Big Door Prize” New to Disney+ ‘Bluey: The... both Disney in the United States and the Australian Broadcasting Corporation overseas are... ,2024-04,2024-04-02
17,Disney+ Korean original 'Uncle Samsik' to drop next month,https://n.news.naver.com/mnews/article/001/0014604475?sid=104,"Disney+-Korean series Disney+ Korean original 'Uncle Samsik' to drop next month SEOUL, April 2 (Yonhap) -- &quot;Uncle Samsik,&quot; one of the most highly anticipated Disney+ original Korean series, is... ",2024-04,2024-04-02
18,Disney+ thriller 'Blood Free' to explore food production in near-future,https://n.news.naver.com/mnews/article/044/0000256154?sid=104,"Disney+'s original series &quot;Blood Free&quot; will explore the philosophical quandary of how humans... Free' was clever,&quot; Han added. The first two episodes of &quot;Blood Free&quot; will stream Wednesday on Disney+.",2024-04,2024-04-08
