,title,link,description,pubDate,realDate
0,"의정부시, 화장실 불편 Meta-의정부 커뮤니티 매핑으로 신속 처리",https://www.jeonmae.co.kr/news/articleView.html?idxno=1023408,의정부시는 'Meta-의정부' 커뮤니티 매핑을 이용해 화장실 정보알림 및 불편신고 서비스가 가능한 스마트한 화장실을 제공한다. [의정부시 제공] 경기 의정부시는 'Meta-의정부' 커뮤니티 매핑을 이용해 화장실... ,2024-03,2024-03-24
1,"의정부시, 화장실 불편 Meta...커뮤니티 매핑으로 신속 처리",https://www.gukjenews.com/news/articleView.html?idxno=2950576,"의정부시, 화장실 불편 Meta-의정부 커뮤니티 매핑으로 신속 처리...중랑천 화장실.(사진제공.의정부시)  이운안 기자 = 의정부시는 'Meta-의정부' 커뮤니티 매핑을 이용해 화장실 정보알림 및 불편신고 서비스가 가능한... ",2024-03,2024-03-22
2,[Column] Comprehensive Integrated Medicine for a Super Aging Society - Me...,https://en.asiatoday.co.kr/view.php?key=20240320001004174,"This evolution has given rise to Meta-Medicine (MM), a revolutionary paradigm that transcends... The concept of Meta-Medicine was coined by Dr. Soon-Yong Kwon, President of the Korean Society of... ",2024-03,2024-03-20
3,"의정부시, Meta-의정부 시정 서비스 홍보에 속도",https://www.gukjenews.com/news/articleView.html?idxno=2944379,"의정부시, Meta-의정부 시정 서비스 홍보에 속도.(사진제공.의정부시)  이운안 기자 = 의정부시가 시민 중심의 각종 디지털 신개념 서비스를 제공하고자 'Meta-의정부' 홍보에 속도를 붙인다. Meta-의정부는 가상공간에... ",2024-03,2024-03-14
4,‘디지털 신개념 Meta-의정부’ 홍보 속도,http://www.shinailbo.co.kr/news/articleView.html?idxno=1842958,경기도 의정부시가 시민 중심의 각종 디지털 신개념 서비스를 제공하고자 ‘Meta-의정부’ 홍보에 속도를 붙인다. 14일 시에 따르면 Meta-의정부는 가상공간에 시의 여러 랜드마크와 관련 콘텐츠를 조화롭게 구성한... ,2024-03,2024-03-14
5,"[의정부24시] 의정부시, 가상 공간 'Meta-의정부'로 시민과 소통 강화",https://n.news.naver.com/mnews/article/586/0000074573?sid=102,"의정부시, 교통유발부담금 체납자에 압류 통지서 발송 의정부시, 봄맞이 '중랑천 청보리 밟기' 행사 개최 경기 의정부시는 디지털 시대의 소통 방식 강화를 위해 가상 공간 'Meta-의정부'를 적극 활용할 예정이다. 'Meta... ",2024-03,2024-03-14
6,"의정부시, Meta-의정부 시정 서비스 홍보에 속도",http://www.insightkorea.co.kr/news/articleView.html?idxno=131117,"의정부시, Meta-의정부 시정 서비스 홍보에 속도. &lt;의정부시&gt;  의정부시(시장 김동근)가 시민 중심의 각종 디지털 신개념 서비스를 제공하고자 'Meta-의정부' 홍보에 속도를 붙인다. Meta-의정부는 가상공간에 의정부시의... ",2024-03,2024-03-14
7,"E.U. Takes Aim at Alphabet, Apple and Meta in Wide-Ranging Investigations",https://www.nytimes.com/2024/03/25/business/apple-facebook-google-eu-investigation.html?partner=naver,"Alphabet, Apple and Meta were told by European Union regulators on Monday that they were under... The law requires Alphabet, Apple, Meta and other tech giants to open up their platforms so... ",2024-03,2024-03-25
8,"[위클리오늘] 의정부시, Meta-의정부 시정 서비스 홍보에 속도",http://www.weeklytoday.com/news/articleView.html?idxno=614267,의정부시가 시민 중심의 각종 디지털 신개념 서비스를 제공하고자 'Meta-의정부' 홍보에 속도를 붙인다. Meta-의정부는 가상공간에 의정부시의 여러 랜드마크와 관련 콘텐츠를 조화롭게 구성한 플랫폼이다. 메타버스... ,2024-03,2024-03-14
9,"의정부시, 시정 서비스 'Meta-의정부' 홍보에 속도",https://www.kmaeil.com/news/articleView.html?idxno=443907,의정부시가 시민 중심의 각종 디지털 신개념 서비스를 제공하고자 'Meta-의정부' 홍보에 속도를 붙인다. Meta-의정부는 가상공간에 의정부시의 여러 랜드마크와 관련 콘텐츠를 조화롭게 구성한 플랫폼이다. 메타버스... ,2024-03,2024-03-14
10,Meta Faces E.U. Investigation Over Election Disinformation,https://www.nytimes.com/2024/04/30/business/meta-european-union-disinformation-investigation.html?partner=naver,"Meta, the American tech giant, is being investigated by European Union regulators for the spread... On Tuesday, European Union officials said Meta did not appear to have sufficient safeguards in... ",2024-04,2024-04-30
11,"El asistente de inteligencia artificial de Meta es divertido, pero no es ...",https://www.nytimes.com/es/2024/04/27/espanol/chatbot-meta-inteligencia-artificial.html?partner=naver,"de Meta, incluidas Instagram, Messenger y WhatsApp: un chatbot artificialmente inteligente. Dentro de esas aplicaciones, puedes chatear con Meta AI y escribir preguntas y peticiones como... ",2024-04,2024-04-27
12,The Meta-morphosis of Mark Zuckerberg,https://www.nytimes.com/2024/04/24/style/mark-zuckerberg-new-look.html?partner=naver,"In the run-up to Meta’s first-quarter earnings report this week, a video image of Mark... “Mark Zuckerberg made an announcement about something Meta is doing with A.I., but I could not listen... ",2024-04,2024-04-24
13,"Probamos las nuevas gafas Ray-Ban de Meta, ahora con IA",https://www.nytimes.com/es/2024/04/01/espanol/gafas-inteligentes-smart-ray-ban-meta.html?partner=naver,"Como señal de que la industria tecnológica sigue volviéndose cada vez más extraña, Meta planea lanzar pronto una gran actualización que transformará las Ray-Ban Meta, sus gafas con cámara... ",2024-04,2024-04-02
14,Meta Says It Plans to Spend Billions More on A.I.,https://www.nytimes.com/2024/04/24/technology/meta-profit-stock-ai.html?partner=naver,"Meta projected on Wednesday that revenue for the current quarter would be lower than what Wall... But Meta’s work on A.I., which requires substantial computing power, comes with a lofty price... ",2024-04,2024-04-25
15,"Meta AI to Supercharge WhatsApp, Facebook, Instagram via Powerful Integra...",https://www.econotimes.com/Meta-AI-to-Supercharge-WhatsApp-Facebook-Instagram-via-Integration-1675984,"Meta Platforms Inc. will integrate its upgraded artificial intelligence assistant with its... The upgraded Meta AI is built with Llama 3, the next generation of the company’s open-source large... ",2024-04,2024-04-19
16,Qualcomm enables Meta Llama 3 to run on devices powered by Snapdragon,https://www.koreaittimes.com/news/articleView.html?idxno=130731,"and Meta announced a collaboration to optimize the execution of Meta Llama 3 large language models (LLMs) directly on smartphones, PCs, VR/AR headsets, vehicles, and more. The ability to run Llama... ",2024-04,2024-04-19
17,"OpenAI, Meta gear up for new AI models capable of reasoning",https://n.news.naver.com/mnews/article/009/0005286619?sid=104,and Meta Platforms Inc. are on the brink of releasing advanced artificial intelligence (AI)... Meta also plans to initially release two versions of the smaller Lama3 next week. “We are hard at... ,2024-04,2024-04-11
18,"메타(Meta), 퀘스트 메타버스 하드웨어 개발을 위해 엑스박스, 레노버, ...",https://www.tokenpost.kr/article-175818,메타(Meta)가 자사의 혼합 현실 장치인 퀘스트(Quest) 라인의 운영 체제를 제3자 하드웨어 및 소프트웨어... 25일(현지시간) 코인텔레그래프에 따르면 이번 변경은 '메타 호라이즌 OS(Meta Horizon OS)'라는 새로운 이름과... ,2024-04,2024-04-29
19,"Meta, in Its Biggest A.I. Push, Places Smart Assistants Across Its Apps",https://www.nytimes.com/2024/04/18/technology/meta-ai-assistant-push.html?partner=naver,"by Meta’s latest artificial intelligence model, to obtain information and complete tasks. On a call with investors last spring, Mark Zuckerberg, the chief executive of Meta, said he believed... ",2024-04,2024-04-19
20,픽셀리티 25일 개막하는 유럽 스타트업 행사 'Viva Technology 2024'에 'Met...,http://gamefocus.co.kr/detail.php?number=156023,도구 'Meta: OQ'를 공개한다. 픽셀리티는 2017년 설립 이후 게임과 디지털 치료를 아우르는 독창적인 XR 경험을 제공하며 사용자에게 즐거움과 치유를 선사해 왔다. 이번에 선보이는 'Meta: OQ'는 작업 치료가 필요한... ,2024-05,2024-05-18
21,E.U. Investigates Meta Over Addictive Social Media Effects on Children,https://www.nytimes.com/2024/05/16/business/eu-investigation-children-social-media-addiction-instagram-facebook.html?partner=naver,European Union regulators on Thursday opened investigations into the American tech giant Meta... Meta’s products may “exploit the weaknesses and inexperience of minors” to create behavioral... ,2024-05,2024-05-16
22,LG pumps brakes on Meta partnership as headsets struggle to sell,https://n.news.naver.com/mnews/article/640/0000054052?sid=105,LG Electronics is slowing down its extended reality (XR) project with Meta as the headset market... “LG Electronics continues the XR partnership with Meta forged in February but is controlling... ,2024-05,2024-05-20
23,LG Contemplates New Partner for 'XR Alliance' After Meta Split,https://www.businesskorea.co.kr/news/articleView.html?idxno=217351,"LG Electronics has terminated its &quot;Extended Reality (XR) Alliance&quot; with Meta, which operates Facebook. This decision comes roughly two months after Meta's CEO, Mark Zuckerberg, visited South... ",2024-05,2024-05-20
24,Yonsei University unveils metaverse campus 'Meta Yonsei',https://n.news.naver.com/mnews/article/640/0000053822?sid=102,"The virtual campus is named Meta Yonsei and is available on LG U+'s metaverse platform Uverse, according to the company on Tuesday. Meta Yonsei recreates Yonsei University's Sinchon campus in... ",2024-05,2024-05-14
25,"픽셀리티, 비바 테크 2024서 디지털 치료도구 'Meta: OQ' 선보인다... &quot;햅...",https://kr.aving.net/news/articleView.html?idxno=1790637,VIVA TECH 2024에서 픽셀리티는 디지털 치료 도구인 'Meta: OQ'를 선보인다. META:OQ는 작업 치료가 필요한 환자가 병원에 내원하지 않고 자택에서 편하게 치료를 받을 수 있는 콘텐츠이다. 의료진의 처방에 따라 작업... ,2024-05,2024-05-21
26,"XR partnership between LG, Meta falls through",https://n.news.naver.com/mnews/article/044/0000257464?sid=104,"and Meta for an extended reality device seems to have fallen through largely due to the lukewarm outlook for the XR market overall, according to industry sources on Monday. “LG and Meta may... ",2024-05,2024-05-20
27,LG Electronics·Meta End &quot;XR Partnership&quot; After Two Months,http://www.kdfnews.com/news/articleView.html?idxno=132632,"with Meta has sent shockwaves through the XR market. The partnership, initiated with a visit from Meta CEO Mark Zuckerberg to LG Electronics CEO Jo Joo-wan in late February, was expected to be a... ",2024-05,2024-05-20
28,"나이언틱, 혼합현실 펫 시뮬레이션 ‘Hello, Dot’ Meta Quest 3에 출시",https://www.gamechosun.co.kr/webzine/article/view.php?no=205133,"- Peridot 프랜차이즈의 새로운 버전, Meta Quest 3로 보다 생생한 체험 가능 - 도트 가까이서 살펴보고 품에... 도트)’를 Meta Quest 3에 출시했다고 10일 밝혔다. ‘헬로 도트’는 사랑스러운 가상 생명체인 도트(Dot)를... ",2024-05,2024-05-10
29,"에듀포올, 'Meta Quest' 전용 다중 제어·미러링 솔루션 발표",https://n.news.naver.com/mnews/article/421/0007529832?sid=101,가상현실(VR) 교육 콘텐츠 전문기업 에듀포올은 'Meta Quest VR HMD' 전용 다중 제어 및 미러링 시스템을 8일... 에듀포올은 이러한 문제를 해결하기 위해 Meta Quest 전용 다중 제어 및 미러링 솔루션이 개발했다. 해당... ,2024-05,2024-05-09
