,title,link,description,pubDate,realDate
0,Starbucks to serve up cocktails in the sky in Busan,https://n.news.naver.com/mnews/article/640/0000051117?sid=101,"Starbucks Korea will add cocktails to its menu at select locations in Korea, including Haeundae... highest Starbucks globally on the 99th floor of the Haeundae LCT The Sharp building. Access to... ",2024-03,2024-03-12
1,Le Sserafim's Huh Yun-jin under fire for drinking 'pro-Israel' Starbucks,https://n.news.naver.com/mnews/article/640/0000051089?sid=101,from Starbucks in light of the company's alleged stance on the ongoing Israel-Hamas war. A... a Starbucks coffee. She received comments asking her to educate herself and apologize such as... ,2024-03,2024-03-12
2,"Nestle Recalls Starbucks Holiday Mugs Over Burns, Injury Risks",https://www.econotimes.com/Nestle-Recalls-Starbucks-Holiday-Mugs-Over-Burns-Injury-Risks-1674111,"Nestle USA has recalled Starbucks mugs sold as holiday gift sets. The Swiss food company is recalling the items due to risks of burns and cuts. About 440,500 Starbucks holiday mugs are being... ",2024-03,2024-03-22
3,Smashburger Hires Starbucks Veteran to Lead Chain as CEO,https://www.econotimes.com/Smashburger-Hires-Starbucks-Veteran-to-Lead-Chain-as-CEO-1674021,Smashburger has a new leader after hiring a former Starbucks executive. Denise Nelsen was appointed as the brand's new chief executive officer. Humble Beginnings at Starbucks The new Smashburger... ,2024-03,2024-03-21
4,Starbucks Reveals Global Leadership Structure; Announces Executives for N...,https://www.econotimes.com/Starbucks-Reveals-Global-Leadership-Structure-Announces-Executives-for-Newly-Created-Roles-1673817,"Starbucks Corporation announced it has set up a new leadership structure for its global... New CEOs for Key Regional Operations Starbucks said on Monday, March 18, that it has appointed Michael... ",2024-03,2024-03-19
5,"Starbucks, Arla Collaborate to Launch No Added Sugar Frappuccino",https://www.econotimes.com/Starbucks-Arla-Collaborate-to-Launch-No-Added-Sugar-Frappuccino-1673731,Starbucks and Arla Foods have teamed up to release no added sugar frappuccino ready-to-drink... blending Starbucks' signature espresso roast coffee with milk and caramel. The result offers the... ,2024-03,2024-03-18
6,Starbucks Introduces Greener Stores in Costa Rica,https://www.econotimes.com/Starbucks-Introduces-Greener-Stores-in-Costa-Rica-1674323,"Starbucks recently unveiled its first four Greener Stores in Costa Rica, signaling a commitment... Environmental Impact Standards Starbucks stores must meet stringent criteria across eight key... ",2024-03,2024-03-26
7,"Starbucks Refuses to Engage in China’s Coffee Price War, Unveils Innova...",https://www.econotimes.com/Starbucks-Refuses-to-Engage-in-Chinas-Coffee-Price-War-Unveils-Innovative-Coffee-Blends-Instead-1674319,"As a price war escalates in China's coffee market, Starbucks Corp. Founder Howard Schultz... However, Caixin Global noted that Starbucks would instead focus on business strategies. Introduction... ",2024-03,2024-03-26
8,"Starbucks Ends Odyssey NFT Program, Pivoting Amid Web3 Evolution",https://www.econotimes.com/Starbucks-Ends-Odyssey-NFT-Program-Pivoting-Amid-Web3-Evolution-1673683,"Starbucks announced the discontinuation of its Odyssey NFT program, signaling a shift in... Insights from Starbucks Odyssey Leader Shed Light on Web3's Impact and Loyalty Programs In February... ",2024-03,2024-03-16
9,Starbucks Adds Alcoholic Drinks in South Korea Stores,https://www.econotimes.com/Starbucks-Adds-Alcoholic-Drinks-in-South-Korea-Stores-1673331,"Starbucks Korea will start serving cocktail drinks at one of its branches in Busan. The leading... At this time, Starbucks customers in South Korea can enjoy different cocktails at its Haeundae... ",2024-03,2024-03-12
